mean,min,max,rmse,sem
0.0010276647041721587,-5.4037196534391515e-05,0.0022101196622827334,0.001161106142886367,0.00010035673110205352
0.0009623873548143593,-0.00035469526096938714,0.0021806479261611577,0.0011659786560744695,0.00012223730534393522
0.0010026645883078789,-0.0002071754932411834,0.002228611551376746,0.0011363290541584106,9.929187949536489e-05
0.0010501930846774773,0.00020465895187700694,0.002149617664584731,0.0011307653411594648,7.784262232511968e-05
0.0008070704927185762,-0.0005920331584700304,0.002266127662709057,0.0010959392989991351,0.00013768031022347174
0.00017344584012545094,-0.0010489370545410928,0.00100172178683396,0.0005363220013964294,9.424067313680184e-05
0.0004627347693295756,-0.001031634216279272,0.0019335657893601046,0.0007782307987437709,0.0001161924250256462
0.001249578894699163,-0.00045106764861692686,0.0035191135586014784,0.0016780034258406878,0.0002079661845071588
0.0009747655675400563,-0.0008216523761791078,0.0032159595585333307,0.0015114429891998828,0.0002144995778421847
0.0007751149902736541,-0.00245288629937471,0.004891189145239454,0.002173270388213886,0.0003770256065638536
0.00116869327281699,-0.001646316634306308,0.0027959693703816643,0.0015951162763345663,0.00020159296384647386
-0.0002451196618024679,-0.002141069980040319,0.0014035488190682485,0.0008543754490912373,0.00015198386477514492
0.001237790226093431,-0.001960831328520637,0.004004685723427077,0.0018602046164302108,0.0002578583259222838
0.0015094663104410514,-0.001083031525923599,0.005274610648357922,0.002185314429598213,0.00029344039010790145
0.0006879269046335673,-0.002593041991197511,0.0034589959943880787,0.0015552661040068776,0.0002590173225570465
0.0020577790050141506,0.0006243494615063576,0.003704183981196618,0.002191371387362176,0.00013990811317982202
0.0007716925155586712,-0.0006480477617841524,0.0025009231630033265,0.0010667172439052458,0.00013675756801545267
0.0014998148638537482,-0.0010390813709370665,0.005508888018883306,0.002126757415503833,0.00028000323142001767
0.0013576197847010134,-0.0007771202472221121,0.0039302703297968535,0.00178450227125448,0.00021506349313478787
0.0012658231997110852,-0.00225946804053198,0.0038727713101239084,0.0019067246676519759,0.000264789479509323
0.0017304998735833354,-0.00046632392674404976,0.003970051368817085,0.0020287441512797867,0.0001966243590760542
0.0007718935199386747,-0.0015833390017685905,0.0039287551902368436,0.0015070786285523831,0.00024036368898673285
0.001146592222142346,-0.00286498659210253,0.00381749526993336,0.0018490257830462674,0.00026936852224342177
0.0010042150362605086,-0.0015895422468202645,0.0035625154413297757,0.0016003852729494597,0.00023139644908474355
0.0015141247014680919,-0.0006398575909553372,0.0031729141279348574,0.0018473910690662626,0.00019654605062479683
0.0003739647020525509,-0.002968095526169616,0.0028545668257705164,0.001503853183941834,0.0002704864583563535
0.0022444539750247285,-0.0017478623354118972,0.005327903092444146,0.0028489044363785663,0.00032582430433748474
0.00036517303610965167,-0.003486726242985309,0.004191458248621157,0.0018651997019166668,0.0003396559406084889
-0.0023079149335735074,-0.007950056028707915,0.00444479672238688,0.004407036131494282,0.0006971740030092048
-0.00043392951718589936,-0.00642605876233037,0.005977361281501031,0.00403603302046859,0.0007451282628867841
0.00040354317336819087,-0.004776621875121891,0.004770676692190265,0.0025099122901620493,0.0004600154649399799
-0.003497823711272477,-0.0095960988413681,0.0009504966563435367,0.004055421540479975,0.0003810906832007045
-0.0005386820233384953,-0.008050383963911889,0.005692673941385778,0.0030793915135037507,0.0005630114156731688
0.00445254286612623,-0.0026624652483103932,0.011270694477107178,0.0054928130707550425,0.0005972886281893707
-0.007210166139822361,-0.016427440408797418,-0.0010719306144729077,0.008381923783935671,0.0007937286637016281
